Timestamp                       Thread     Type        Activity             PID    TTL
2026-04-29 16:43:48.141923+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE ENTER this=0xffffff98_9ffabd00 desc=0xffffff90_26e7f260
2026-04-29 16:43:48.141926+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IO80211 ret=0x0_0
2026-04-29 16:43:48.153498+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IO80211 ret=0x0_0
2026-04-29 16:43:48.153500+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKYNET ret=0xffffffa7_6ce8100
2026-04-29 16:43:48.165214+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKYNET ret=0xffffffa7_6ce8100
2026-04-29 16:43:48.165216+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKY ret=0xffffffa7_6ce8280
2026-04-29 16:43:48.176786+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKY ret=0xffffffa7_6ce8280
2026-04-29 16:43:48.176788+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IO80211 sym=0xffffff9d_6d639e20 meta=0xffffff80_a8089f0
2026-04-29 16:43:48.189448+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IO80211 sym=0xffffff9d_6d639e20 meta=0xffffff80_a8089f0
2026-04-29 16:43:48.189450+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IO80211 ret=0x0_0
2026-04-29 16:43:48.201129+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IO80211 ret=0x0_0
2026-04-29 16:43:48.201131+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IOSKYNET sym=0xffffff9d_6c7da128 meta=0xffffff80_ae6d9c0
